seed,model,oof_rmse,fold_mean_rmse,fold_std_rmse,fold_scores
42,ElasticNet_Domain,0.10956654543432369,0.10929816029295036,0.008495842112983827,"[0.10898785265200066, 0.10790546121592998, 0.11807857596630554, 0.11536520599746769, 0.09615370563304798]"
42,GradientBoosting,0.11221287671662099,0.11172426665442851,0.011666687953154505,"[0.1216884973215534, 0.10157384319595157, 0.11584060851477786, 0.12235804396935485, 0.09716034027050496]"
42,XGBoost,0.1135359834167472,0.11339450694052515,0.006396034172575707,"[0.11103954326988832, 0.10836253721278934, 0.11702101438780663, 0.12277633578813953, 0.10777310404400202]"
123,ElasticNet_Domain,0.10899462169947498,0.10882836840625798,0.006570680218003635,"[0.1101058089661709, 0.11057217797506909, 0.11716101127286044, 0.10728265947714881, 0.09902018434004059]"
123,GradientBoosting,0.11376169532348943,0.11353061558692693,0.007965480198315927,"[0.11049531193172046, 0.11577725506969876, 0.1256086972506639, 0.11175433750446678, 0.10401747617808475]"
123,XGBoost,0.11458028812682297,0.11427198788332686,0.009251222386794213,"[0.11276667506462844, 0.11327738749846634, 0.12990226022120624, 0.10977763992902093, 0.10563597670331233]"
2026,ElasticNet_Domain,0.10914118118478894,0.10852156697708719,0.013000106422858553,"[0.10940086337340878, 0.11862489583696584, 0.09595385163741862, 0.12370085813588787, 0.09492736590175485]"
2026,GradientBoosting,0.11374526106992584,0.1131091299932463,0.013415124497807494,"[0.11358627924053681, 0.1285148304073955, 0.09942792401954773, 0.12410582793967453, 0.09991078835907696]"
2026,XGBoost,0.11284834695391821,0.11217304147351004,0.013811356049701113,"[0.1111244999841873, 0.12571993582117547, 0.09545731837420658, 0.1263251466522123, 0.10223830653576849]"
