seed,oof_rmse,fold_mean,fold_std,fold_scores
42,0.11053820838633105,0.10994898083407718,0.012651717863081053,"[0.10519744391265988, 0.1309134386146292, 0.10565932188314923, 0.09732795781992983, 0.1106467419400178]"
123,0.11095522235161744,0.11025567915437677,0.01373167939654935,"[0.12633940694610865, 0.10988616341139555, 0.12070686421276589, 0.09248939422796304, 0.10185656697365071]"
2026,0.1086959810900837,0.10844255672718921,0.008197900795290326,"[0.11470127498620822, 0.10111394670084357, 0.11791000241877027, 0.10929601920689558, 0.0991915403232284]"
