model,feature_variant,feature_count,oof_rmse,fold_mean_rmse,fold_std_rmse,fold_scores
GradientBoosting,all,98,0.11221287671662099,0.11172426665442851,0.011666687953154505,"[0.1216884973215534, 0.10157384319595157, 0.11584060851477786, 0.12235804396935485, 0.09716034027050496]"
GradientBoosting,totals_ages,87,0.11251537502467848,0.11207006274335699,0.011183891110694923,"[0.12137630213321499, 0.10183527246717836, 0.11313511898357652, 0.1244077964494842, 0.0995958236833309]"
GradientBoosting,totals,84,0.11349041554095453,0.11300826899494773,0.01169151105033081,"[0.12088384679394555, 0.1015206005977041, 0.11621595733638676, 0.12629487757264876, 0.1001260626740534]"
XGBoost,totals,84,0.1135359834167472,0.11339450694052515,0.006396034172575707,"[0.11103954326988832, 0.10836253721278934, 0.11702101438780663, 0.12277633578813953, 0.10777310404400202]"
GradientBoosting,raw,80,0.11427690691806092,0.11380408938893002,0.011572781204134314,"[0.12243664682243695, 0.10476049522581138, 0.11927566716059952, 0.12424815343338982, 0.09829948430241257]"
XGBoost,raw,80,0.11479817063370423,0.11456295482560439,0.008170226932061337,"[0.11195324789680675, 0.11047673800695182, 0.1248739649812348, 0.12083784130086965, 0.10467298194215888]"
XGBoost,totals_ages,87,0.11547730333984652,0.11537432501100049,0.005503600170654925,"[0.11332776943994965, 0.11146672861614076, 0.11861364319230945, 0.1233469673924455, 0.11011651641415714]"
XGBoost,all,98,0.11587777460294378,0.11569950280561288,0.0071591753016718735,"[0.115808752030499, 0.11150229832825222, 0.12184791113675392, 0.12325592417833534, 0.10608262835422388]"
