model,weight,crossfit_weight_mean,crossfit_weight_std
ElasticNet_Domain,0.418775474173901,0.41872811547254074,0.015333364440569654
GradientBoosting,0.29093969304240447,0.29093788970656076,0.027395351978434346
XGBoost,0.29028483278369455,0.2903339948208986,0.022803991298025378
