model_id,family,role,description,outcome,focal,coefficient,std_error,t_statistic,p_value,ci_95_low,ci_95_high,standardized_outcome_effect,n,firms,years,r_squared_within,control_count,controls,dropped_controls,effect_spec,covariance,sample_note,status,fdr_concurrent_family
CONCURRENT_FULL_AlignedCAR_0_p2_w,concurrent_disclosure_audit,robustness,完整严格对齐事件样本,AlignedCAR_0_p2_w,Digital_z,-0.002691547653814213,0.0014490749077920055,-1.8574247882846835,0.06327026287261583,-0.0055319107291005604,0.00014881542147213416,-0.04867276854715795,18623,2359,10,0.005150520554066507,12,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,完整严格对齐事件样本,ok,0.10720629168620673
CONCURRENT_FULL_AlignedMarketAdjustedCAR_0_p2_w,concurrent_disclosure_audit,robustness,完整严格对齐事件样本,AlignedMarketAdjustedCAR_0_p2_w,Digital_z,-0.0028102824634672276,0.0014764177942599818,-1.9034466222183488,0.05700135172234666,-0.005704240922041057,8.367599510660266e-05,-0.050173814009029545,18623,2359,10,0.0003246784921235868,12,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,完整严格对齐事件样本,ok,0.10720629168620673
CONCURRENT_VERIFIED_FULL_AlignedCAR_0_p2_w,concurrent_disclosure_audit,robustness,仅保留目标年报收件号已在DART历史页核验的事件,AlignedCAR_0_p2_w,Digital_z,-0.0027998576172418117,0.0015133795630936833,-1.8500696623114707,0.06432377501172404,-0.00576627387240118,0.00016655863791755583,-0.050707448997513366,17937,2210,10,0.005082880099896436,12,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,仅保留目标年报收件号已在DART历史页核验的事件,ok,0.10720629168620673
CONCURRENT_VERIFIED_FULL_AlignedMarketAdjustedCAR_0_p2_w,concurrent_disclosure_audit,robustness,仅保留目标年报收件号已在DART历史页核验的事件,AlignedMarketAdjustedCAR_0_p2_w,Digital_z,-0.0029495444100455922,0.0015442426617704149,-1.910026502352974,0.05614944565443425,-0.005976456260514896,7.736744042371188e-05,-0.05274866775041967,17937,2210,10,0.00012333555921972827,12,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,仅保留目标年报收件号已在DART历史页核验的事件,ok,0.10720629168620673
CONCURRENT_CLEAN_ANY_AlignedCAR_0_p2_w,concurrent_disclosure_audit,robustness,覆盖已核验且剔除事件窗内任何其他DART公告,AlignedCAR_0_p2_w,Digital_z,-0.005756001695127994,0.0030925850288150247,-1.8612266571482117,0.06279253441258437,-0.011819368163716738,0.0003073647734607495,-0.10341354693760146,5620,1762,10,0.013504846806620674,12,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,覆盖已核验且剔除事件窗内任何其他DART公告,ok,0.10720629168620673
CONCURRENT_CLEAN_ANY_AlignedMarketAdjustedCAR_0_p2_w,concurrent_disclosure_audit,robustness,覆盖已核验且剔除事件窗内任何其他DART公告,AlignedMarketAdjustedCAR_0_p2_w,Digital_z,-0.006149796062748674,0.0030906675387874726,-1.989795403604412,0.04668799223912723,-0.012209403072946271,-9.01890525510764e-05,-0.11033672362238908,5620,1762,10,0.003573031926850323,12,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,覆盖已核验且剔除事件窗内任何其他DART公告,ok,0.10720629168620673
CONCURRENT_CLEAN_HIGH_AlignedCAR_0_p2_w,concurrent_disclosure_audit,robustness,覆盖已核验且剔除事件窗内高相关公告,AlignedCAR_0_p2_w,Digital_z,-0.0035002996062992097,0.0026816833604158615,-1.3052620820067293,0.19185852108160328,-0.008757465676514224,0.0017568664639158044,-0.06375564302445946,8399,2014,10,0.010573735149802865,12,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,覆盖已核验且剔除事件窗内高相关公告,ok,0.2398231513520041
CONCURRENT_CLEAN_HIGH_AlignedMarketAdjustedCAR_0_p2_w,concurrent_disclosure_audit,robustness,覆盖已核验且剔除事件窗内高相关公告,AlignedMarketAdjustedCAR_0_p2_w,Digital_z,-0.004038302775524154,0.0025881808936119226,-1.5602861397715218,0.11875012727159961,-0.009112166818654642,0.0010355612676063337,-0.07305429006098786,8399,2014,10,0.0013772976563265482,12,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,覆盖已核验且剔除事件窗内高相关公告,ok,0.16964303895942803
CONCURRENT_CLEAN_SAMEDAY_AlignedCAR_0_p2_w,concurrent_disclosure_audit,robustness,覆盖已核验且剔除事件日同日公告,AlignedCAR_0_p2_w,Digital_z,-0.0024543646918726053,0.003843942803941769,-0.63850187608301,0.5231823943021818,-0.009990560071097623,0.0050818306873524136,-0.04313239376086312,6169,1811,10,0.013724707035526973,12,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,覆盖已核验且剔除事件日同日公告,ok,0.5231823943021818
CONCURRENT_CLEAN_SAMEDAY_AlignedMarketAdjustedCAR_0_p2_w,concurrent_disclosure_audit,robustness,覆盖已核验且剔除事件日同日公告,AlignedMarketAdjustedCAR_0_p2_w,Digital_z,-0.0029300439969451946,0.003805885983776261,-0.7698717222311421,0.44141996716304366,-0.01039162753959835,0.004531539545707959,-0.05131659992350112,6169,1811,10,0.003963567880665986,12,FirmSize_w; Leverage_w; ROA_AvgAssets_w; SalesGrowth_w; Liquidity_w; OperatingMargin_w; FirmAgeLog_w; LossDummy; NegativeEquityDummy; LogTotalSentences; FiscalYearStockReturn_w; FiscalYearDailyVolatility_w,,firm_event_date,firm_event_date,覆盖已核验且剔除事件日同日公告,ok,0.4904666301811596
