fold,roc_auc,accuracy,precision,recall,f1,log_loss,fit_seconds,predict_seconds,model
1,0.5,0.825360980461068,0.0,0.0,0.0,0.4631662531204778,1.2411240000001271,0.16868609999801265,Dummy
2,0.5,0.8253535028751318,0.0,0.0,0.0,0.46317786618149875,1.2014006000026711,0.15819399999600137,Dummy
3,0.5,0.8253535028751318,0.0,0.0,0.0,0.4631778661814988,1.2151135000021895,0.16410650000034366,Dummy
4,0.5,0.8253535028751318,0.0,0.0,0.0,0.4631778661814986,1.1719985000017914,0.16925630000332603,Dummy
5,0.5,0.8253535028751318,0.0,0.0,0.0,0.4631778661814987,1.2024987999975565,0.17531769999914104,Dummy
