fold,roc_auc,accuracy,precision,recall,f1,log_loss,fit_seconds,predict_seconds,model
1,0.9399310591552815,0.8968167916669783,0.727393870169427,0.6544208948833227,0.6889805486059458,0.22983452385919684,85.9719299999997,0.30277279999427265,CatBoost
2,0.9408944786024521,0.8976243709480831,0.7256385114628566,0.66539647199863,0.6942130301744355,0.22819048696835606,87.0822479999988,0.30378579999523936,CatBoost
3,0.9421115423492378,0.8984244726432519,0.7313227914023294,0.6613718102414797,0.6945905841089977,0.2261484268284525,86.12500879999425,0.3043418999950518,CatBoost
4,0.9416889732257565,0.897998250244891,0.7289221923747585,0.6622281212536393,0.6939764441951767,0.2267141812427275,86.18201520000002,0.2877522000053432,CatBoost
5,0.9410429396826165,0.8990226795181444,0.7345490905628036,0.6605154992293201,0.6955678795256774,0.22779026602690672,86.9106449999963,0.309675899996364,CatBoost
