fold,roc_auc,accuracy,precision,recall,f1,log_loss,fit_seconds,predict_seconds,model
1,0.9399972717485151,0.8971084175184884,0.7259667467382601,0.6599443374009848,0.6913829453191584,0.22971527258974364,5.127382200000284,1.7399653999964357,LightGBM
2,0.9411661643865503,0.8977514899089978,0.7241411241781647,0.66963521150882,0.6958223962272545,0.22779023699771536,5.184033099998487,1.6471907999948598,LightGBM
3,0.9424403840636466,0.8985665467760389,0.7293081643168299,0.6666381229662613,0.6965663795995973,0.22562366955871818,4.937639000003401,1.6328236000044853,LightGBM
4,0.941935139270607,0.898050593346444,0.7286023325808879,0.6633413255694468,0.6944419542805916,0.22637912537304836,4.906646700001147,1.6820979999974952,LightGBM
5,0.9413163196323223,0.8987908743541235,0.7312238075057682,0.6648826853913341,0.6964770255421254,0.22739944307419047,5.012857999994594,1.6441582000043127,LightGBM
