fold,roc_auc,accuracy,precision,recall,f1,log_loss,fit_seconds,predict_seconds,model
1,0.9406376243479526,0.8973551778543815,0.7255857544517338,0.6629843716548919,0.6928739232576351,0.22857671634107,14.180900300001667,1.1708893999966676,XGBoost
2,0.9417007848669139,0.898289876096401,0.7249538745387454,0.6729320089056345,0.6979749533706369,0.2267070547345176,14.933496900004684,1.2292879000015091,XGBoost
3,0.9428846214391817,0.8992769174399737,0.7302496739332961,0.6712193868813153,0.6994913439228985,0.22475944576346335,12.70569780000369,1.1109183999942616,XGBoost
4,0.9424764219820667,0.8984543829869964,0.7278575424202871,0.6685220071930125,0.6969291198000357,0.22536291124211902,12.453402399994957,1.0877246000018204,XGBoost
5,0.9418798268484935,0.8993292605415267,0.7307674364357359,0.6706627847234116,0.699426224018218,0.22636420936275278,12.593013599995174,1.0994344999999157,XGBoost
