fold,roc_auc,accuracy,precision,recall,f1,log_loss,fit_seconds,predict_seconds,model
1,0.9403806222899928,0.8973850881981261,0.725109843881462,0.6642260757867694,0.6933339292498156,0.22900416166392867,7.729073799993785,0.6586433999982546,LightGBM
2,0.9414803278578919,0.8979384295574017,0.7227091267838297,0.6743449220756979,0.6976898713149793,0.22713006986475925,7.673548099999607,0.6410988999996334,LightGBM
3,0.942806556576606,0.8992544846821652,0.7290382387022016,0.6734457955129303,0.7001402149963277,0.2248498104234618,7.034089100001438,0.6423950999960653,LightGBM
4,0.9422380159333197,0.898716098494762,0.7274750753535822,0.6716903579380031,0.6984706484717615,0.22574884105200144,6.747983000001113,0.6767877000020235,LightGBM
5,0.941773915217596,0.8989927691743997,0.7284070878560164,0.6723325911971227,0.6992474506835286,0.22652664475437273,6.971141000001808,0.8691114999965066,LightGBM
