feature_version,feature_count,mean_roc_auc,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_log_loss,std_roc_auc,fit_seconds,predict_seconds
BASE,13,0.9413710558203283,0.8980535843808186,0.7278484350639822,0.6648883365673693,0.6949381401937454,0.2273815495186832,0.0009211286903464163,25.443574599994463,2.8961183999999776
FE_V1,18,0.941340360727315,0.8980535843808186,0.7280580412765099,0.6644687416048614,0.6948044802632862,0.22742915382909173,0.0009310452216593513,31.413813600003778,3.0702619000003324
FE_V2,25,0.9413401692428167,0.8981178916198693,0.7284820396505518,0.6642118358351145,0.6948563121330554,0.22739249139198076,0.0009463587868287208,44.34823619999952,3.3756340999971144
