model,mean_roc_auc,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_log_loss,std_roc_auc,fit_seconds,predict_seconds
Dummy,0.5,0.825354998392319,0.0,0.0,0.0,0.46317554356929447,0.0,6.032135400004336,0.8355605999968247
Logistic Regression,0.9380983776476098,0.8572289562037791,0.5567703874467014,0.8950153382516494,0.6864877898339714,0.32682460206921754,0.0009113725814206265,22.831892399990465,0.8815642000045045
