fold,roc_auc,accuracy,precision,recall,f1,log_loss,fit_seconds,predict_seconds,model
1,0.9403028777321709,0.8972205813075307,0.7239884393063584,0.6649967886962107,0.6932398955520342,0.22916803439141534,13.872487100001308,0.41144019999774173,XGBoost
2,0.9411684148048156,0.898289876096401,0.722917999817168,0.6771707484158246,0.6992969889905823,0.22765374972102337,12.153515300000436,0.3870332000005874,XGBoost
3,0.9424492228175188,0.8989254709009743,0.727386179801248,0.6737883199177941,0.6995621346491521,0.22548204472905664,12.24285129999771,0.40078150000044843,XGBoost
4,0.9419414632504358,0.8979085192136571,0.723396417553069,0.6726323000513786,0.6970913850864153,0.22628923087187783,12.23675170000206,0.4100819999948726,XGBoost
5,0.9413834372951965,0.8991273657212505,0.7280839652302571,0.674216475423874,0.700115596656589,0.22722606144720775,12.340254400005506,0.38920380000490695,XGBoost
