stata_model,python_model,term,match_found,python_coefficient,stata_coefficient,coefficient_abs_diff,python_SE,stata_SE,SE_abs_diff,python_p,stata_p,p_abs_diff,python_N,stata_N,N_match,python_within_R2,stata_within_R2,within_R2_abs_diff
M00_BASELINE_REPRODUCED,M00_BASELINE_REPRODUCED,BMI_component_z,True,0.030243177005377,0.0302431770053772,2.0122792321330962e-16,0.0068954206384769,0.0068971491,1.7284615230995712e-06,1.2130720546106924e-05,1.2191568e-05,6.084745389307553e-08,13980,13980,True,0.0556323861000788,0.055632386,1.0007879941431597e-10
M06_HIGH_COVERAGE,M06_PLUS_HIGH_COVERAGE_EXTENDED,BMI_component_z,True,0.0298184300763449,0.0298184300763451,2.0122792321330962e-16,0.0075417177868899,0.0075438069,2.089113110099669e-06,7.969474898082453e-05,8.0057471e-05,3.6272201917546655e-07,12658,12658,True,0.058462271097799,0.05846227,1.0977990044791497e-09
M07_ALL_EXTENDED,M07_PLUS_ALL_EXTENDED_WITH_RANDD,BMI_component_z,True,0.0248293443957917,0.0248293443957913,4.0245584642661925e-16,0.0240227673355521,0.024206853,0.00018408566444789998,0.3043733407881399,0.30804205,0.0036687092118601328,480,480,True,0.1233561503971959,0.12335615,3.971959011694892e-10
M09_BMI_AND_NONBMI,M09_BMI_AND_NONBMI_DISCLOSURE,BMI_component_z,True,0.0312466584037238,0.031246658403724,1.97758476261356e-16,0.0072462113386313,0.0072480282,1.8168613687002955e-06,1.6934170729413765e-05,1.701642e-05,8.224927058623493e-08,13980,13980,True,0.0557497969407204,0.055749796,9.407204043521133e-10
M09_BMI_AND_NONBMI,M09_BMI_AND_NONBMI_DISCLOSURE,NonBMI_share_z,True,-0.0059525322942448,-0.005952532294245,1.9949319973733282e-16,0.0071124261250497,0.0071142092,1.7830749503002993e-06,0.4027348956838364,0.4028528,0.00011790431616359731,13980,13980,True,0.0557497969407204,0.055749796,9.407204043521133e-10
M10_ANY_BMI,M10_ANY_BMI_DISCLOSURE,BMIDisclosureAny,True,0.0165975703841873,0.0165975703841872,1.0061396160665481e-16,0.0089035091566242,0.0089057414,2.232243375799997e-06,0.0624417936985495,0.062507451,6.565730145050713e-05,13980,13980,True,0.0527195368150283,0.052719537,1.849716976809468e-10
