model_id,outcome,term,coefficient,std_error,t_value,p_value,ci95_low,ci95_high,N,firms,years,within_R2,effects,cluster,control_count
M00_BASELINE_REPRODUCED,FutureAssetTurnover_h2,BMI_component_z,0.030243177005377094,0.00689542063847699,4.385979999047162,1.2130720546106924e-05,0.016720428517664507,0.04376592549308968,13980,2054,8,0.05563238610007881,corp_code+year,firm,13
M00_BASELINE_REPRODUCED,FutureAssetTurnover_h2,AssetTurnover_w,0.10743648100536457,0.02163975944041547,4.964772427400971,7.445627841352035e-07,0.06499831231490796,0.14987464969582118,13980,2054,8,0.05563238610007881,corp_code+year,firm,13
M00_BASELINE_REPRODUCED,FutureAssetTurnover_h2,FirmSize_w,-0.10098111846481239,0.01618093804090316,-6.240745635978962,5.275146985816416e-10,-0.1327138824098302,-0.06924835451979458,13980,2054,8,0.05563238610007881,corp_code+year,firm,13
M00_BASELINE_REPRODUCED,FutureAssetTurnover_h2,Leverage_w,0.12060803185872847,0.03626804973242533,3.325462293907115,0.0008982646684417485,0.049482028038928844,0.1917340356785281,13980,2054,8,0.05563238610007881,corp_code+year,firm,13
M00_BASELINE_REPRODUCED,FutureAssetTurnover_h2,ROA_AvgAssets_w,-0.10647732310711544,0.04081646438564372,-2.60868560542364,0.00915502119229547,-0.18652331464022215,-0.026431331574008746,13980,2054,8,0.05563238610007881,corp_code+year,firm,13
M00_BASELINE_REPRODUCED,FutureAssetTurnover_h2,SalesGrowth_w,0.04154780543862124,0.007759148691361379,5.354686073341827,9.529160786979036e-08,0.02633118244588395,0.056764428431358524,13980,2054,8,0.05563238610007881,corp_code+year,firm,13
M00_BASELINE_REPRODUCED,FutureAssetTurnover_h2,Liquidity_w,-0.0015172501911813539,0.0010702632238592114,-1.417642087813102,0.15644703614251126,-0.003616164985608343,0.000581664603245635,13980,2054,8,0.05563238610007881,corp_code+year,firm,13
M00_BASELINE_REPRODUCED,FutureAssetTurnover_h2,OperatingMargin_w,-0.026811501371696068,0.01271803063008152,-2.1081488283476646,0.035139018858713275,-0.051753087750044044,-0.0018699149933480881,13980,2054,8,0.05563238610007881,corp_code+year,firm,13
M00_BASELINE_REPRODUCED,FutureAssetTurnover_h2,FirmAgeLog_w,-0.009700987875220678,0.030743701370536638,-0.315543914452593,0.7523807856339347,-0.06999308070205323,0.050591104951611884,13980,2054,8,0.05563238610007881,corp_code+year,firm,13
M00_BASELINE_REPRODUCED,FutureAssetTurnover_h2,LossDummy,0.009812644851558503,0.006489591637288299,1.5120589090962826,0.13067278480209393,-0.0029142241967662613,0.02253951389988327,13980,2054,8,0.05563238610007881,corp_code+year,firm,13
