Threshold,Accuracy
0.3,0.8361391694725028
0.305,0.8361391694725028
0.31,0.8361391694725028
0.315,0.8338945005611672
0.32,0.8361391694725028
0.325,0.8383838383838383
0.33,0.8395061728395061
0.335,0.8395061728395061
0.34,0.8439955106621774
0.34500000000000003,0.8451178451178452
0.35000000000000003,0.8462401795735129
0.35500000000000004,0.8473625140291807
0.36000000000000004,0.8462401795735129
0.36500000000000005,0.8451178451178452
0.37000000000000005,0.8451178451178452
0.37500000000000006,0.8462401795735129
0.38000000000000006,0.8473625140291807
0.38500000000000006,0.8484848484848485
0.39000000000000007,0.8484848484848485
0.3950000000000001,0.8496071829405163
0.4000000000000001,0.8496071829405163
0.4050000000000001,0.8496071829405163
0.4100000000000001,0.8507295173961841
0.4150000000000001,0.8529741863075196
0.4200000000000001,0.8529741863075196
0.4250000000000001,0.8529741863075196
0.4300000000000001,0.856341189674523
0.4350000000000001,0.8552188552188552
0.4400000000000001,0.8540965207631874
0.4450000000000001,0.8540965207631874
0.4500000000000001,0.8540965207631874
0.4550000000000001,0.8507295173961841
0.46000000000000013,0.8518518518518519
0.46500000000000014,0.8540965207631874
0.47000000000000014,0.8552188552188552
0.47500000000000014,0.8552188552188552
0.48000000000000015,0.8540965207631874
0.48500000000000015,0.856341189674523
0.49000000000000016,0.8608305274971941
0.49500000000000016,0.8574635241301908
0.5000000000000002,0.8574635241301908
0.5050000000000001,0.856341189674523
0.5100000000000002,0.8540965207631874
0.5150000000000001,0.8552188552188552
0.5200000000000002,0.8540965207631874
0.5250000000000001,0.8507295173961841
0.5300000000000002,0.8507295173961841
0.5350000000000001,0.8507295173961841
0.5400000000000003,0.8507295173961841
0.5450000000000002,0.8496071829405163
0.5500000000000003,0.8507295173961841
0.5550000000000002,0.8496071829405163
0.5600000000000003,0.8518518518518519
0.5650000000000002,0.8518518518518519
0.5700000000000003,0.8529741863075196
0.5750000000000002,0.8529741863075196
0.5800000000000003,0.8529741863075196
0.5850000000000002,0.8529741863075196
0.5900000000000003,0.8540965207631874
0.5950000000000002,0.8552188552188552
0.6000000000000003,0.8552188552188552
0.6050000000000002,0.8552188552188552
0.6100000000000003,0.856341189674523
0.6150000000000002,0.8540965207631874
0.6200000000000003,0.8518518518518519
0.6250000000000002,0.8507295173961841
0.6300000000000003,0.8484848484848485
0.6350000000000002,0.8484848484848485
0.6400000000000003,0.8484848484848485
0.6450000000000002,0.8484848484848485
0.6500000000000004,0.8462401795735129
0.6550000000000002,0.8439955106621774
0.6600000000000004,0.8439955106621774
0.6650000000000003,0.8428731762065096
0.6700000000000004,0.8428731762065096
0.6750000000000003,0.8428731762065096
0.6800000000000004,0.8428731762065096
0.6850000000000003,0.8395061728395061
0.6900000000000004,0.8383838383838383
0.6950000000000003,0.8372615039281706
0.7000000000000004,0.835016835016835
