Experiment,Model,FeatureSet,Parameters,CVMean,CVStd,CVMin,CVMax,OOFAccuracy,Precision,Recall,F1,AUC,Threshold,Notes
Pool_HistGradientBoosting,HistGradientBoosting,E10_Group,{},0.8473353838428223,0.020701700278795622,0.8202247191011236,0.8715083798882681,0.8473625140291807,0.8301282051282052,0.7573099415204678,0.7920489296636085,0.8889235079197692,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
Pool_CatBoost,CatBoost,E10_Group,{},0.8462306195467957,0.015815097141536772,0.8202247191011236,0.8651685393258427,0.8462401795735129,0.8382838283828383,0.7426900584795322,0.7875968992248062,0.8927795353593456,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
Pool_RandomForest,RandomForest,E10_Group,{},0.8428221706107589,0.026801662341853296,0.8089887640449438,0.888268156424581,0.8428731762065096,0.8300653594771242,0.7426900584795322,0.7839506172839507,0.8878716219814868,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
Pool_LightGBM,LightGBM,E10_Group,{},0.8361245370660976,0.02699926458315884,0.8033707865168539,0.8764044943820225,0.8361391694725028,0.8181818181818182,0.7368421052631579,0.7753846153846153,0.8885267205658348,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
Pool_GradientBoosting,GradientBoosting,E10_Group,{},0.8349821103508882,0.026429873801775784,0.7921348314606742,0.8659217877094972,0.835016835016835,0.8135048231511254,0.7397660818713451,0.774885145482389,0.8903029431502253,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
Pool_XGBoost,XGBoost,E10_Group,{},0.8316238779737619,0.03325338649435278,0.7865168539325843,0.8707865168539326,0.8316498316498316,0.8037974683544303,0.7426900584795322,0.7720364741641338,0.8916371073402998,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
Pool_LogisticRegression,LogisticRegression,E10_Group,{},0.822666499278137,0.014526967875199047,0.797752808988764,0.8426966292134831,0.8226711560044894,0.7929936305732485,0.7280701754385965,0.7591463414634146,0.8847878652307758,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
Pool_ExtraTrees,ExtraTrees,E10_Group,{},0.8204004770573097,0.018678566585492284,0.7865168539325843,0.8435754189944135,0.8204264870931538,0.7916666666666666,0.7222222222222222,0.7553516819571865,0.886675933914933,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
Pool_KNN,KNN,E10_Group,{},0.8159186491745652,0.011168623735013615,0.797752808988764,0.8324022346368715,0.8159371492704826,0.7947019867549668,0.7017543859649122,0.7453416149068323,0.8745725881187487,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
Pool_SVC,SVC,E10_Group,{},0.8114619295712762,0.02250937823211057,0.7808988764044944,0.848314606741573,0.8114478114478114,0.7843137254901961,0.7017543859649122,0.7407407407407407,0.872053387871622,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
