Timestamp,Experiment,FeatureSet,Model,Parameters,Seed,Accuracy,Precision,Recall,F1,AUC,Fold,TrainAccuracy,ValidationSamples
2026-09-11T01:13:42,B1_Logistic,E0_Basic,LogisticRegression,{},2026,0.8770949720670391,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.9210144927536231,1,0.7907303370786517,179
2026-09-11T01:13:42,B1_Logistic,E0_Basic,LogisticRegression,{},2026,0.8146067415730337,0.7611940298507462,0.75,0.7555555555555555,0.891644385026738,2,0.7980364656381487,178
2026-09-11T01:13:42,B1_Logistic,E0_Basic,LogisticRegression,{},2026,0.7921348314606742,0.746031746031746,0.6911764705882353,0.7175572519083969,0.8621657754010695,3,0.8162692847124825,178
2026-09-11T01:13:42,B1_Logistic,E0_Basic,LogisticRegression,{},2026,0.7471910112359551,0.6825396825396826,0.6323529411764706,0.6564885496183206,0.7941844919786095,4,0.8176718092566619,178
2026-09-11T01:13:42,B1_Logistic,E0_Basic,LogisticRegression,{},2026,0.7921348314606742,0.8333333333333334,0.5797101449275363,0.6837606837606838,0.8074059300624917,5,0.8134642356241234,178
2026-09-11T01:13:46,B2_RandomForest,E0_Basic,RandomForest,{},2026,0.8491620111731844,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.9181159420289853,1,0.875,179
2026-09-11T01:13:46,B2_RandomForest,E0_Basic,RandomForest,{},2026,0.8370786516853933,0.8095238095238095,0.75,0.7786259541984732,0.8877673796791444,2,0.8611500701262272,178
2026-09-11T01:13:46,B2_RandomForest,E0_Basic,RandomForest,{},2026,0.8146067415730337,0.8301886792452831,0.6470588235294118,0.7272727272727273,0.894385026737968,3,0.8737727910238429,178
2026-09-11T01:13:46,B2_RandomForest,E0_Basic,RandomForest,{},2026,0.7921348314606742,0.746031746031746,0.6911764705882353,0.7175572519083969,0.8358288770053477,4,0.8751753155680224,178
2026-09-11T01:13:46,B2_RandomForest,E0_Basic,RandomForest,{},2026,0.8146067415730337,0.8913043478260869,0.5942028985507246,0.7130434782608696,0.8106634756016488,5,0.8681626928471248,178
2026-09-11T01:13:46,Ablation_E0_Basic,E0_Basic,LogisticRegression,{},2026,0.8770949720670391,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.9210144927536231,1,0.7907303370786517,179
2026-09-11T01:13:46,Ablation_E0_Basic,E0_Basic,LogisticRegression,{},2026,0.8146067415730337,0.7611940298507462,0.75,0.7555555555555555,0.891644385026738,2,0.7980364656381487,178
2026-09-11T01:13:46,Ablation_E0_Basic,E0_Basic,LogisticRegression,{},2026,0.7921348314606742,0.746031746031746,0.6911764705882353,0.7175572519083969,0.8621657754010695,3,0.8162692847124825,178
2026-09-11T01:13:46,Ablation_E0_Basic,E0_Basic,LogisticRegression,{},2026,0.7471910112359551,0.6825396825396826,0.6323529411764706,0.6564885496183206,0.7941844919786095,4,0.8176718092566619,178
2026-09-11T01:13:46,Ablation_E0_Basic,E0_Basic,LogisticRegression,{},2026,0.7921348314606742,0.8333333333333334,0.5797101449275363,0.6837606837606838,0.8074059300624917,5,0.8134642356241234,178
2026-09-11T01:13:47,Ablation_E1_Title,E1_Title,LogisticRegression,{},2026,0.9050279329608939,0.8714285714285714,0.8840579710144928,0.8776978417266187,0.9363636363636364,1,0.8202247191011236,179
2026-09-11T01:13:47,Ablation_E1_Title,E1_Title,LogisticRegression,{},2026,0.8146067415730337,0.7611940298507462,0.75,0.7555555555555555,0.888770053475936,2,0.8373071528751753,178
2026-09-11T01:13:47,Ablation_E1_Title,E1_Title,LogisticRegression,{},2026,0.8033707865168539,0.746268656716418,0.7352941176470589,0.7407407407407407,0.8816844919786097,3,0.8429172510518934,178
2026-09-11T01:13:47,Ablation_E1_Title,E1_Title,LogisticRegression,{},2026,0.7808988764044944,0.704225352112676,0.7352941176470589,0.7194244604316546,0.8128342245989304,4,0.8415147265077139,178
2026-09-11T01:13:47,Ablation_E1_Title,E1_Title,LogisticRegression,{},2026,0.8033707865168539,0.84,0.6086956521739131,0.7058823529411765,0.8361255152240393,5,0.8387096774193549,178
2026-09-11T01:13:47,Ablation_E2_Family,E2_Family,LogisticRegression,{},2026,0.9106145251396648,0.8955223880597015,0.8695652173913043,0.8823529411764706,0.9353096179183136,1,0.8230337078651685,179
2026-09-11T01:13:47,Ablation_E2_Family,E2_Family,LogisticRegression,{},2026,0.8202247191011236,0.7727272727272727,0.75,0.7611940298507462,0.893716577540107,2,0.8330995792426368,178
2026-09-11T01:13:47,Ablation_E2_Family,E2_Family,LogisticRegression,{},2026,0.8089887640449438,0.7575757575757576,0.7352941176470589,0.746268656716418,0.8883689839572192,3,0.8401122019635343,178
2026-09-11T01:13:47,Ablation_E2_Family,E2_Family,LogisticRegression,{},2026,0.7921348314606742,0.7246376811594203,0.7352941176470589,0.7299270072992701,0.8106951871657754,4,0.8415147265077139,178
2026-09-11T01:13:47,Ablation_E2_Family,E2_Family,LogisticRegression,{},2026,0.8033707865168539,0.84,0.6086956521739131,0.7058823529411765,0.8120595665470016,5,0.8345021037868162,178
2026-09-11T01:13:48,Ablation_E3_Ticket,E3_Ticket,LogisticRegression,{},2026,0.8324022346368715,0.819672131147541,0.7246376811594203,0.7692307692307693,0.8797101449275362,1,0.8356741573033708,179
2026-09-11T01:13:48,Ablation_E3_Ticket,E3_Ticket,LogisticRegression,{},2026,0.8089887640449438,0.7575757575757576,0.7352941176470589,0.746268656716418,0.8748663101604277,2,0.8429172510518934,178
2026-09-11T01:13:48,Ablation_E3_Ticket,E3_Ticket,LogisticRegression,{},2026,0.8089887640449438,0.7575757575757576,0.7352941176470589,0.746268656716418,0.8946524064171122,3,0.844319775596073,178
2026-09-11T01:13:48,Ablation_E3_Ticket,E3_Ticket,LogisticRegression,{},2026,0.7696629213483146,0.684931506849315,0.7352941176470589,0.7092198581560284,0.8446524064171124,4,0.8569424964936886,178
2026-09-11T01:13:48,Ablation_E3_Ticket,E3_Ticket,LogisticRegression,{},2026,0.8033707865168539,0.84,0.6086956521739131,0.7058823529411765,0.8125249301954528,5,0.844319775596073,178
2026-09-11T01:13:49,Ablation_E4_Fare,E4_Fare,LogisticRegression,{},2026,0.8156424581005587,0.78125,0.7246376811594203,0.7518796992481203,0.8789196310935441,1,0.8356741573033708,179
2026-09-11T01:13:49,Ablation_E4_Fare,E4_Fare,LogisticRegression,{},2026,0.8033707865168539,0.746268656716418,0.7352941176470589,0.7407407407407407,0.8735294117647059,2,0.8401122019635343,178
2026-09-11T01:13:49,Ablation_E4_Fare,E4_Fare,LogisticRegression,{},2026,0.8089887640449438,0.7575757575757576,0.7352941176470589,0.746268656716418,0.8927807486631016,3,0.8485273492286115,178
2026-09-11T01:13:49,Ablation_E4_Fare,E4_Fare,LogisticRegression,{},2026,0.7696629213483146,0.684931506849315,0.7352941176470589,0.7092198581560284,0.8473262032085561,4,0.85273492286115,178
2026-09-11T01:13:49,Ablation_E4_Fare,E4_Fare,LogisticRegression,{},2026,0.8146067415730337,0.8461538461538461,0.6376811594202898,0.7272727272727273,0.815848956255817,5,0.8415147265077139,178
2026-09-11T01:13:49,Ablation_E5_Cabin,E5_Cabin,LogisticRegression,{},2026,0.8324022346368715,0.8,0.7536231884057971,0.7761194029850746,0.8723320158102768,1,0.8412921348314607,179
2026-09-11T01:13:49,Ablation_E5_Cabin,E5_Cabin,LogisticRegression,{},2026,0.8370786516853933,0.782608695652174,0.7941176470588235,0.7883211678832117,0.8717914438502675,2,0.8457223001402524,178
2026-09-11T01:13:49,Ablation_E5_Cabin,E5_Cabin,LogisticRegression,{},2026,0.797752808988764,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.8938502673796791,3,0.8541374474053296,178
2026-09-11T01:13:49,Ablation_E5_Cabin,E5_Cabin,LogisticRegression,{},2026,0.797752808988764,0.7105263157894737,0.7941176470588235,0.75,0.8578877005347593,4,0.8555399719495091,178
2026-09-11T01:13:49,Ablation_E5_Cabin,E5_Cabin,LogisticRegression,{},2026,0.7921348314606742,0.7962962962962963,0.6231884057971014,0.6991869918699187,0.8187740991889376,5,0.8499298737727911,178
2026-09-11T01:13:50,Ablation_E6_SmartAge,E6_SmartAge,LogisticRegression,{},2026,0.8156424581005587,0.78125,0.7246376811594203,0.7518796992481203,0.8741765480895914,1,0.8398876404494382,179
2026-09-11T01:13:50,Ablation_E6_SmartAge,E6_SmartAge,LogisticRegression,{},2026,0.8314606741573034,0.7714285714285715,0.7941176470588235,0.782608695652174,0.8704545454545455,2,0.844319775596073,178
2026-09-11T01:13:50,Ablation_E6_SmartAge,E6_SmartAge,LogisticRegression,{},2026,0.797752808988764,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.8858288770053476,3,0.8583450210378681,178
2026-09-11T01:13:50,Ablation_E6_SmartAge,E6_SmartAge,LogisticRegression,{},2026,0.8033707865168539,0.72,0.7941176470588235,0.7552447552447552,0.8556149732620322,4,0.8569424964936886,178
2026-09-11T01:13:50,Ablation_E6_SmartAge,E6_SmartAge,LogisticRegression,{},2026,0.7921348314606742,0.7857142857142857,0.6376811594202898,0.704,0.819571865443425,5,0.8499298737727911,178
2026-09-11T01:13:51,Ablation_E7_Interactions,E7_Interactions,LogisticRegression,{},2026,0.8100558659217877,0.7966101694915254,0.6811594202898551,0.734375,0.8667984189723321,1,0.8581460674157303,179
2026-09-11T01:13:51,Ablation_E7_Interactions,E7_Interactions,LogisticRegression,{},2026,0.8314606741573034,0.7878787878787878,0.7647058823529411,0.7761194029850746,0.8741978609625667,2,0.8555399719495091,178
2026-09-11T01:13:51,Ablation_E7_Interactions,E7_Interactions,LogisticRegression,{},2026,0.797752808988764,0.7424242424242424,0.7205882352941176,0.7313432835820896,0.9069518716577541,3,0.8695652173913043,178
2026-09-11T01:13:51,Ablation_E7_Interactions,E7_Interactions,LogisticRegression,{},2026,0.7752808988764045,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.8491978609625669,4,0.876577840112202,178
2026-09-11T01:13:51,Ablation_E7_Interactions,E7_Interactions,LogisticRegression,{},2026,0.8146067415730337,0.8461538461538461,0.6376811594202898,0.7272727272727273,0.8583964898284803,5,0.8611500701262272,178
2026-09-11T01:13:52,Ablation_E8_FamilySurvival,E8_FamilySurvival,LogisticRegression,{},2026,0.8324022346368715,0.8305084745762712,0.7101449275362319,0.765625,0.8843214756258235,1,0.8637640449438202,179
2026-09-11T01:13:52,Ablation_E8_FamilySurvival,E8_FamilySurvival,LogisticRegression,{},2026,0.8370786516853933,0.8,0.7647058823529411,0.7819548872180451,0.8851604278074866,2,0.8709677419354839,178
2026-09-11T01:13:52,Ablation_E8_FamilySurvival,E8_FamilySurvival,LogisticRegression,{},2026,0.8033707865168539,0.7538461538461538,0.7205882352941176,0.7368421052631579,0.9233957219251336,3,0.8779803646563815,178
