number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_lambda,state
35,0.8367618918469347,2026-09-11 01:10:11.405241,2026-09-11 01:10:12.052204,0 days 00:00:00.646963,0.036701278986884446,5,34,265,26,2.6415456537365465,COMPLETE
36,0.8334049842775333,2026-09-11 01:10:12.052325,2026-09-11 01:10:12.880526,0 days 00:00:00.828201,0.01726519335359618,4,18,360,31,1.143680648493816,COMPLETE
37,0.8258955813959585,2026-09-11 01:10:12.880628,2026-09-11 01:10:13.437334,0 days 00:00:00.556706,0.015149890898766285,3,26,296,18,0.9215937014575192,COMPLETE
38,0.8323024294576066,2026-09-11 01:10:13.437424,2026-09-11 01:10:14.200273,0 days 00:00:00.762849,0.029164988516808824,5,22,254,20,1.4976039902506377,COMPLETE
39,0.8425186928665916,2026-09-11 01:10:14.200385,2026-09-11 01:10:14.952240,0 days 00:00:00.751855,0.052402933483362106,4,14,315,23,2.353611222466287,COMPLETE
40,0.8298242350263805,2026-09-11 01:10:14.952332,2026-09-11 01:10:15.764445,0 days 00:00:00.812113,0.018930670562420326,3,14,441,23,3.8491332043288655,COMPLETE
41,0.8454807482733034,2026-09-11 01:10:15.764540,2026-09-11 01:10:16.626833,0 days 00:00:00.862293,0.051149352147165754,4,15,315,29,2.498450699737031,COMPLETE
42,0.842919850992786,2026-09-11 01:10:16.626936,2026-09-11 01:10:17.697117,0 days 00:00:01.070181,0.050367663368136646,4,15,321,22,2.2620822799082947,COMPLETE
43,0.8328370986622288,2026-09-11 01:10:17.697225,2026-09-11 01:10:18.853855,0 days 00:00:01.156630,0.06054115222168142,4,16,407,19,2.7521930228730707,COMPLETE
44,0.8405486346000373,2026-09-11 01:10:18.853959,2026-09-11 01:10:19.868049,0 days 00:00:01.014090,0.04386589283709777,4,20,365,21,1.9854990561782984,COMPLETE
45,0.8431068846838011,2026-09-11 01:10:19.868150,2026-09-11 01:10:20.670876,0 days 00:00:00.802726,0.04916725441322798,3,12,344,29,3.5902529311602653,COMPLETE
46,0.8429235697512046,2026-09-11 01:10:20.670970,2026-09-11 01:10:21.428363,0 days 00:00:00.757393,0.047742900819783815,3,17,321,30,3.531638875669039,COMPLETE
47,0.8263770611792518,2026-09-11 01:10:21.428459,2026-09-11 01:10:22.157712,0 days 00:00:00.729253,0.03621586565558952,3,19,295,29,4.752018570838608,COMPLETE
48,0.8451814595759919,2026-09-11 01:10:22.157826,2026-09-11 01:10:22.927601,0 days 00:00:00.769775,0.047002830782874656,3,17,337,30,3.777258316098776,COMPLETE
49,0.8404664749533169,2026-09-11 01:10:22.927714,2026-09-11 01:10:23.664351,0 days 00:00:00.736637,0.045338600514809646,3,13,338,28,4.398442203164851,COMPLETE
