Model1,Model2,Model3,W1,W2,W3,Threshold,OOFAccuracy
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.55,0.4,0.05,0.4950000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.45,0.30000000000000004,0.25,0.5300000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.30000000000000004,0.15000000000000002,0.55,0.5100000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.65,0.05,0.3,0.4900000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.8500000000000001,0.0,0.15,0.5150000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.8500000000000001,0.15000000000000002,-0.0,0.4950000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.9,0.05,0.05,0.4950000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.8500000000000001,0.1,0.05,0.5000000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.9,0.0,0.1,0.5150000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.7000000000000001,0.2,0.1,0.5200000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.75,0.0,0.25,0.4900000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.75,0.2,0.05,0.5200000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.7000000000000001,0.05,0.25,0.4950000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.65,0.2,0.15,0.5000000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.9500000000000001,0.05,-0.0,0.5000000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.9500000000000001,0.0,0.05,0.5150000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,1.0,0.0,0.0,0.4900000000000001,0.8585858585858586
Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost,0.8,0.0,0.2,0.4700000000000001,0.8585858585858586
