Experiment,OOFAccuracy,CVMean,CVStd
Age_median,0.8249158249158249,0.8248885820099179,0.020112868110016814
Age_pclass_sex,0.8249158249158249,0.8248885820099179,0.021915188231581003
Age_title_pclass,0.8249158249158249,0.824882304940054,0.026389846869563853
Age_smart,0.8249158249158249,0.824882304940054,0.02516546591634622
ChildAge_14,0.8237934904601572,0.8237649865042999,0.02442955755416948
ChildAge_16,0.8249158249158249,0.824882304940054,0.02516546591634622
ChildAge_18,0.8204264870931538,0.8203941999874458,0.02531540486173915
TicketFrequency_train,0.8282828282828283,0.8282844768062269,0.02177072440635369
TicketFrequency_combined,0.8249158249158249,0.824882304940054,0.02516546591634622
