,Finalist_CatBoost,Finalist_RandomForest,Finalist_XGBoost
Finalist_CatBoost,1.0,0.9800021104892734,0.9787205969902955
Finalist_RandomForest,0.9800021104892734,1.0,0.9712944615960425
Finalist_XGBoost,0.9787205969902955,0.9712944615960425,1.0
