Experiment,Model,FeatureSet,Parameters,CVMean,CVStd,CVMin,CVMax,OOFAccuracy,Precision,Recall,F1,AUC,Threshold,Notes
Finalist_CatBoost,CatBoost,E10_Group,"{""depth"": 4, ""iterations"": 603, ""l2_leaf_reg"": 3.4999806116108285, ""learning_rate"": 0.0360413262384813}",0.8475839558094281,0.024433114503741436,0.8033707865168539,0.898876404494382,0.856341189674523,0.8407643312101911,0.7719298245614035,0.8048780487804879,0.9014902161292727,0.5,"seeds=[42, 2026, 3407, 777, 2025]; age=smart; child<16; combined_frequency=True"
Finalist_RandomForest,RandomForest,E10_Group,"{""max_depth"": 10, ""max_features"": 0.5033729605332278, ""min_samples_leaf"": 1, ""n_estimators"": 326}",0.8491595003452389,0.024811765143566904,0.797752808988764,0.9044943820224719,0.8540965207631874,0.8291925465838509,0.7807017543859649,0.8042168674698795,0.8973093023998977,0.5,"seeds=[42, 2026, 3407, 777, 2025]; age=smart; child<16; combined_frequency=True"
Finalist_XGBoost,XGBoost,E10_Group,"{""colsample_bytree"": 0.7939937660465151, ""learning_rate"": 0.05862822662504594, ""max_depth"": 4, ""min_child_weight"": 4, ""n_estimators"": 254, ""reg_lambda"": 0.751199500513433, ""subsample"": 0.9494973200659226}",0.8439884501914505,0.03057145776706309,0.7752808988764045,0.9044943820224719,0.8529741863075196,0.8370607028753994,0.7660818713450293,0.8,0.896595617763291,0.5,"seeds=[42, 2026, 3407, 777, 2025]; age=smart; child<16; combined_frequency=True"
Finalist_LightGBM,LightGBM,E10_Group,"{""learning_rate"": 0.0241382790774509, ""max_depth"": 4, ""min_child_samples"": 17, ""n_estimators"": 480, ""num_leaves"": 16, ""reg_lambda"": 1.0817130716689736}",0.8435427782311219,0.031108862476504556,0.7808988764044944,0.898876404494382,0.8507295173961841,0.8338658146964856,0.7631578947368421,0.7969465648854962,0.8960576912834606,0.5,"seeds=[42, 2026, 3407, 777, 2025]; age=smart; child<16; combined_frequency=True"
