RuleId,Base,Keys,Reference,Support,LowCut,HighCut,LowTarget,MaleHigh,OOFAccuracy,FoldMean,FoldStd,PositivePredictions
R0485,female_child12,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female_master,young,0.8473625140291807,0.8444378883936977,0.023799243833020345,155
R0491,female_child12,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female_master,young,0.8473625140291807,0.8444378883936977,0.023799243833020345,154
R0509,female_child12,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female_master,young,0.8473625140291807,0.8444378883936977,0.023799243833020345,155
R0515,female_child12,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female_master,young,0.8473625140291807,0.8444378883936977,0.023799243833020345,154
R0539,female_child12,UnionGroup,female_master,1,0.25,1.0,female_master,young,0.8473625140291807,0.8439884501914505,0.024091323287017075,154
R0563,female_child12,UnionGroup,female_child16,1,0.25,1.0,female_master,young,0.8473625140291807,0.8439884501914505,0.024091323287017075,154
R0245,female_master,TicketNormalized,female_master,1,0.0,1.0,female_master,young,0.8462401795735129,0.8451107902830957,0.02367268540678515,161
R0251,female_master,TicketNormalized,female_master,1,0.25,1.0,female_master,young,0.8462401795735129,0.8451107902830957,0.02367268540678515,161
R0269,female_master,TicketNormalized,female_child16,1,0.0,1.0,female_master,young,0.8462401795735129,0.8451107902830957,0.02367268540678515,161
R0275,female_master,TicketNormalized,female_child16,1,0.25,1.0,female_master,young,0.8462401795735129,0.8451107902830957,0.02367268540678515,161
R0483,female_child12,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female_master,none,0.8462401795735129,0.843763731090327,0.02370622175378123,153
R0489,female_child12,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female_master,none,0.8462401795735129,0.843763731090327,0.02370622175378123,152
R0507,female_child12,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female_master,none,0.8462401795735129,0.843763731090327,0.02370622175378123,153
R0513,female_child12,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female_master,none,0.8462401795735129,0.843763731090327,0.02370622175378123,152
R0436,female_child12,TicketNormalized,female_master,1,0.0,1.0,female_master,master,0.8462401795735129,0.843763731090327,0.02407611858009674,156
R0442,female_child12,TicketNormalized,female_master,1,0.25,1.0,female_master,master,0.8462401795735129,0.843763731090327,0.02407611858009674,156
R0460,female_child12,TicketNormalized,female_child16,1,0.0,1.0,female_master,master,0.8462401795735129,0.843763731090327,0.02407611858009674,156
R0466,female_child12,TicketNormalized,female_child16,1,0.25,1.0,female_master,master,0.8462401795735129,0.843763731090327,0.02407611858009674,156
R0537,female_child12,UnionGroup,female_master,1,0.25,1.0,female_master,none,0.8462401795735129,0.8433142928880797,0.023986805048662633,152
R0561,female_child12,UnionGroup,female_child16,1,0.25,1.0,female_master,none,0.8462401795735129,0.8433142928880797,0.023986805048662633,152
R0395,female_child12,FamilyID,female_master,1,0.25,1.0,female_master,young,0.8462401795735129,0.842417927311531,0.024547976395632214,154
R0419,female_child12,FamilyID,female_child16,1,0.25,1.0,female_master,young,0.8462401795735129,0.842417927311531,0.024547976395632214,154
R0393,female_child12,FamilyID,female_master,1,0.25,1.0,female_master,none,0.8451178451178452,0.8417437700081603,0.02455677800660633,153
R0417,female_child12,FamilyID,female_child16,1,0.25,1.0,female_master,none,0.8451178451178452,0.8417437700081603,0.02455677800660633,153
R0339,female_master,UnionGroup,female_master,1,0.0,1.0,female_master,none,0.8439955106621774,0.8424191827255036,0.023279523307047037,159
R0340,female_master,UnionGroup,female_master,1,0.0,1.0,female_master,master,0.8439955106621774,0.8424191827255036,0.023279523307047037,159
R0363,female_master,UnionGroup,female_child16,1,0.0,1.0,female_master,none,0.8439955106621774,0.8424191827255036,0.023279523307047037,159
R0364,female_master,UnionGroup,female_child16,1,0.0,1.0,female_master,master,0.8439955106621774,0.8424191827255036,0.023279523307047037,159
R0437,female_child12,TicketNormalized,female_master,1,0.0,1.0,female_master,young,0.8439955106621774,0.841967233695311,0.02449207817704629,156
R0443,female_child12,TicketNormalized,female_master,1,0.25,1.0,female_master,young,0.8439955106621774,0.841967233695311,0.02449207817704629,156
R0461,female_child12,TicketNormalized,female_child16,1,0.0,1.0,female_master,young,0.8439955106621774,0.841967233695311,0.02449207817704629,156
R0467,female_child12,TicketNormalized,female_child16,1,0.25,1.0,female_master,young,0.8439955106621774,0.841967233695311,0.02449207817704629,156
R0341,female_master,UnionGroup,female_master,1,0.0,1.0,female_master,young,0.8428731762065096,0.8417450254221329,0.023504676852140097,160
R0365,female_master,UnionGroup,female_child16,1,0.0,1.0,female_master,young,0.8428731762065096,0.8417450254221329,0.023504676852140097,160
R0435,female_child12,TicketNormalized,female_master,1,0.0,1.0,female_master,none,0.8428731762065096,0.8412930763919401,0.024281406110600375,154
R0441,female_child12,TicketNormalized,female_master,1,0.25,1.0,female_master,none,0.8428731762065096,0.8412930763919401,0.024281406110600375,154
R0459,female_child12,TicketNormalized,female_child16,1,0.0,1.0,female_master,none,0.8428731762065096,0.8412930763919401,0.024281406110600375,154
R0465,female_child12,TicketNormalized,female_child16,1,0.25,1.0,female_master,none,0.8428731762065096,0.8412930763919401,0.024281406110600375,154
