source_set,feature_rows,prediction_matches,segment_matches,missing_predictions,missing_segments,prediction_join_rate,segment_join_rate
test,286571,286571,286571,0.0,0.0,1.0,1.0
train,668665,668665,668665,0.0,0.0,1.0,1.0
