model,term,coefficient,std_error,p_value,N,firms,years,r2_within
M00_BASELINE_REPRODUCED,BMI_component_z,.0302431770053772,.0068971491,.000012191568,13980,2054,,.055632386
M06_HIGH_COVERAGE,BMI_component_z,.0298184300763451,.0075438069,.000080057471,12658,1931,,.05846227
M07_ALL_EXTENDED,BMI_component_z,.0248293443957913,.024206853,.30804205,480,83,,.12335615
M09_BMI_AND_NONBMI,BMI_component_z,.031246658403724,.0072480282,.00001701642,13980,2054,,.055749796
M09_BMI_AND_NONBMI,NonBMI_share_z,-.005952532294245,.0071142092,.4028528,13980,2054,,.055749796
M10_ANY_BMI,BMIDisclosureAny,.0165975703841872,.0089057414,.062507451,13980,2054,,.052719537
